mtSNP	Position	Info	Haplogroups
14921A	14921	VARIANT	U3a2a1a
16483A	16483	VARIANT	B2a1a1,B2a1a,B2a1b,B2a1,B2a2,B2a3,B2a4a1,B2a4a,B2a4,B2a5,B2a
6794G	6794	VARIANT	A2af1a1,A2af1a2,A2af1a,A2af1b1a,A2af1b1b,A2af1b1,A2af1b2,A2af1b,A2af1,M34a1a,M34a1,M34a2,M34a,M34b,M34
5463T	5463	VARIANT	J1b1a1a
11893G	11893	VARIANT	H1a6,H1ac,H46b,B4j,U5a2a1d,U2d1,U2d2a,U2d2,U2d3,U2d,M7c1c3a1,L0k2a1a
4883T	4883	VARIANT	H1e3,M80,D1a1,D1a2,D1a,D1b,D1c,D1d1,D1d2,D1d,D1e,D1f1,D1f2,D1f3,D1f+16189,D1f,D1g1a,D1g1b,D1g1,D1g2a,D1g2,D1g5,D1g+16189,D1g3,D1g4,D1g6,D1g,D1h1,D1h2,D1h,D1i1,D1i2,D1i,D1j1a1,D1j1a2,D1j1a,D1j1,D1j,D1k,D1m,D1n,D1,D4a1a1a,D4a1a1,D4a1a,D4a1b1,D4a1b,D4a1c,D4a1d,D4a1e1,D4a1e,D4a1f1,D4a1f,D4a1g,D4a1h,D4a1,D4a2a,D4a2b,D4a2,D4a3a1,D4a3a2,D4a3a,D4a3b1,D4a3b2,D4a3b,D4a3,D4a4,D4a+16294,D4a5,D4a6,D4a7,D4a8,D4a,D4b1a1a,D4b1a1,D4b1a2a1,D4b1a2a2,D4b1a2a,D4b1a2,D4b1a,D4b1b1a1,D4b1b1a,D4b1b1,D4b1b2,D4b1b,D4b1d,D4b1b'd,D3,D4b1c,D4b1,D4b2a1,D4b2a2a1,D4b2a2a2,D4b2a2a,D4b2a2b,D4b2a2,D4b2a,D4b2b1a,D4b2b1b,D4b2b1c,D4b2b1d,D4b2b1+146,D4b2b1,D4b2b2a1,D4b2b2a,D4b2b2b,D4b2b2c,D4b2b2,D4b2b3,D4b2b4,D4b2b5,D4b2b6,D4b2b7,D4b2b,D4b2d,D4b2,D4b,D4c1a1,D4c1a,D4c1b1,D4c1b2,D4c1b,D4c1,D4c2a,D4c2b,D4c2c,D4c2,D4c,D4d,D4e1a1,D4e1a2a,D4e1a2,D4e1a3,D4e1a,D4e1c,D2a1a,D2a1b,D2a1,D2a2,D2a,D2b1a,D2b1,D2b2,D2b,D2a'b,D2c,D2,D4e1,D4e3,D4e1'3,D4e2a,D4e2b,D4e2c,D4e2d,D4e2,D4e4a1,D4e4a,D4e4b,D4e4,D4e5a,D4e5b,D4e5,D4e,D4f1,D4f,D4g1a,D4g1b,D4g1c,D4g1,D4g2a1a,D4g2a1b,D4g2a1c,D4g2a1,D4g2a,D4g2b1a,D4g2b1,D4g2b,D4g2,D4g,D4h1a1,D4h1a2,D4h1a,D4h1b,D4h1c1,D4h1c,D4h1d,D4h1,D4h2,D4h3a1a1,D4h3a1a2,D4h3a1a,D4h3a1,D4h3a2,D4h3a3a,D4h3a3,D4h3a4,D4h3a5,D4h3a6,D4h3a7,D4h3a8,D4h3a9,D4h3a+@152,D4h3a,D4h3b,D4h3,D4h4a,D4h4,D4h,D4i1,D4i2,D4i3,D4i,D4j1a1a,D4j1a1b,D4j1a1,D4j1a2,D4j1a,D4j1b2,D4j1b,D4j1,D4j2a,D4j2,D4j3a1,D4j3a,D4j3,D4j11,D4j+16311,D4j4a,D4j4,D4j5a,D4j5,D4j6,D4j13,D4j+146,D4j7a,D4j7,D4j8,D4j9,D4j+(16286),D4j10,D4j12,D4j14,D4j15,D4j16,D4j,D4k,D4o1a,D4o1,D4o2a1,D4o2a,D4o2,D4o,D4p1,D4p,D4+195,D4l1a1,D4l1a,D4l1,D4l2a1,D4l2a2,D4l2a,D4l2b,D4l2,D4l,D4m1,D4m2a1a,D4m2a1,D4m2a,D4m2,D4m,D4n1a,D4n1,D4n2,D4n,D4q1a,D4q1,D4q,D4s,D4t,D4,D5a1a1,D5a1a2,D5a1a,D5a1,D5a2a1a1a,D5a2a1a1,D5a2a1a2,D5a2a1a,D5a2a1+@16172,D5a2a1b1,D5a2a1b,D5a2a1,D5a2a2,D5a2a+16092,D5a2a,D5a2b,D5a2,D5a3a1a,D5a3a1,D5a3a,D5a3,D5a,D5b1a1,D5b1a2,D5b1a,D5b1b1,D5b1b2,D5b1b,D5b1c1a,D5b1c1,D5b1c,D5b1d,D5b1,D5b2,D5b3a1,D5b3a,D5b3,D5b4,D5b,D5a'b,D5c1a,D5c1,D5c2,D5c+16311,D5c,D5,D6a1a,D6a1,D6a2,D6a,D6c1a,D6c1,D6c,D6,D+16189,D,M80'D
3552C	3552	VARIANT	U5a1d2a1,U5a1d2a,U5a1d2b,U5a1d2,K1a1a1,K1a1a2a1,K1a1a2a,K1a1a2,K1a1a,A2a5,X2a1a1,X2a1a,X2a1b1a,X2a1b1,X2a1b,X2a1c,X2a1,M52b1a
12654G	12654	VARIANT	R2a,R2+13500+195,R2b1,R2b,R2c,R2d,R2+13500,R2,U5a2b2a1,U5a2b2a,U5a2b2,D6a1a,D6a1,D6a2,D6a,D6c1a,D6c1,D6c,D6
458T	458	VARIANT	T2b6a,T2b6b,T2b6+146,T2b6,L1c3c
3552A	3552	VARIANT	C1a,C1b1,C1b2,C1b3,C1b4,C1b5a,C1b5b,C1b5,C1b6,C1b7a,C1b7,C1b10,C1b+16311,C1b8a,C1b8,C1b9,C1b11,C1b12,C1b13a1,C1b13a,C1b13b,C1b13c1,C1b13c,C1b13d,C1b13e,C1b13,C1b14,C1b,C1c1a,C1c1b,C1c1,C1c2,C1c3,C1c4,C1c5,C1c6,C1c7,C1c+195,C1c8,C1c,C1d1a1,C1d1a,C1d1b1,C1d1b,C1d1c1,C1d1c,C1d1d,C1d1,C1d2a,C1d2,C1d3,C1d+194,C1d,C1e,C1f,C1,C4a1a1a,C4a1a1,C4a1a2a,C4a1a2,C4a1a3a1,C4a1a3a,C4a1a3b,C4a1a3c,C4a1a3d,C4a1a3,C4a1a4a,C4a1a4,C4a1a+195,C4a1a5,C4a1a6,C4a1a,C4a1b,C4a1,C4a2a1a,C4a2a1b,C4a2a1,C4a2a,C4a2b1,C4a2b2a,C4a2b2,C4a2b,C4a2c1,C4a2c2a,C4a2c2,C4a2c,C4a2,C4a,C4b1a,C4b1b,C4b1,C4b2a,C4b2,C4b3a1,C4b3a,C4b3b,C4b3,C4b5,C4b6,C4b7,C4b8a,C4b8,C4b,C4c1a,C4c1b,C4c1,C4c2,C4c,C4a'b'c,C4d,C4+152+16093,C4e,C4+152,C4,C5a1,C5a2a,C5a2b1,C5a2b,C5a2,C5a,C5b1a1,C5b1a,C5b1b1,C5b1b,C5b1,C5b,C5c1a,C5c1,C5c+16234,C5c,C5d1,C5d2,C5d,C5+16093,C5,C7a1a1,C7a1a2,C7a1a,C7a1c,C7a1d,C7a1,C7a2a,C7a2,C7a,C7b,C7+16051,C7,C
7861C	7861	VARIANT	HV2a2,R9c1a1,R9c1a2,R9c1a3,R9c1a,R9c1b1,R9c1b2,R9c1b,R9c1,R9c,F4a1a,N1a3a1a,A2q1,L3h1a1,L3h1a2a1,L3h1a2a,L3h1a2b,L3h1a2,L3h1a,L3h1b1a,L3h1b1,L3h1b2,L3h1b,L3h1,L3h2,L3h,M9a1a1c1a,M21b1a,M21b1,M21b2,M21b+210,M21b,D1h1,L0d2a1b
5331A	5331	VARIANT	L2b1a2,L2b1a3,L2b1a4,L2b1a,L2b1b,L2b1,L2b2a,L2b2,L2b3a,L2b3b,L2b3c,L2b3,L2b
15287C	15287	VARIANT	H10c1,I6a,M1a1g,M5a1a,M5a1b,M5a1
325T	325	VARIANT	K1a4a1f1,K1a4a1f,L4a1a,L4a1,L2c1a,L2c1,L2c2a1,L2c2a,L2c2b1a,L2c2b1b,L2c2b1,L2c2b2,L2c2b,L2c2,L2c3a,L2c3,L2c4,L2c5,L2c
13857G	13857	VARIANT	N9a2c
761G	761	VARIANT	H3d,F2c2
8756C	8756	VARIANT	H47a,M28a7a
9518T	9518	VARIANT	A2r1
2220T	2220	VARIANT	L4b2b1
93G!	93	BACKMUTATION	L2c1a
16220G	16220	VARIANT	H82,G1c1
2220G	2220	VARIANT	B4b1a2a,L1c2b1a1,L1c2b1a,L1c2b1b1,L1c2b1b,L1c2b1a'b
42.1G	42	INSERTION	H1a3a2,N9a10b
13194A	13194	VARIANT	H5a1c1a,H5a1c1,H5a1c2,H5a1c,R8b1a,R8b1,R8b2,R8b,U5b1c2b,U2b1a,U2b1,U2b2,U2b,M63,G2a1h,M91a,D6a1a,D6a1,L2e1a,L1b1a4a,L1c1a1a2
3116T	3116	VARIANT	U2e1a1a,U2e1a1b,U2e1a1c,U2e1a1,M33d
9821G	9821	VARIANT	N9a10a1
16220C	16220	VARIANT	H1bs,HV12a1,HV12a,F3b1a1,F3b1a+16093,F3b1a2,F3b1a,F3b1b1,F3b1b,F3b1,F3b+152,F3b
4314C	4314	VARIANT	P10
1289A	1289	VARIANT	M11c
64T	64	VARIANT	H1b1g,H57,R0a1a1a,R0a1a1,R0a1a2,R0a1a3,R0a1a4,R0a1a,R0a1b,R0a1+152,R0a1,R0a2a1,R0a2a,R0a2b,R0a2c,R0a2d,R0a2e,R0a2f1a,R0a2f1b,R0a2f1,R0a2f,R0a2g,R0a2h,R0a2i,R0a2j,R0a2+195,R0a2k1,R0a2k,R0a2l,R0a2m,R0a2n,R0a2,R0a3a,R0a3,R0a2'3,R0a4,R0a+60.1T,R0a,R0b,R0a'b,F1a1b,F2e1,U5a1g2,K1a19a,A2c,A2d1a,A2d1,A2d2,A2d,A2e,A2ao1,A2ao,A2+(64)+@153,A2f1a,A2f1,A2f2,A2f3,A2f,A2g1,A2g,A2h1,A2h,A2i,A2j1,A2j,A2k1a,A2k1,A2k,A2l,A2m,A2n,A2o,A2ai,A2aj,A2+(64)+@16111,A2p1,A2p2,A2p,A2am,A2+(64)+16129,A2q1,A2q,A2t,A2u1,A2u2,A2u,A2v1a,A2v1b,A2v1+152,A2v1,A2v,A2w1,A2w,A2x,A2y,A2aa,A2ab,A2ac1,A2ac,A2ad1,A2ad2,A2ad,A2ae,A2af1a1,A2af1a2,A2af1a,A2af1b1a,A2af1b1b,A2af1b1,A2af1b2,A2af1b,A2af1,A2af2,A2af,A2ag,A2ah,A2ak,A2al,A2an,A2ap,A2+(64)+16189,A2aq,A2+(64),A8a1,A8a,S3,X2n,M15,M27b1,M74a,M52b1a,L0a1a1,L0a1a2,L0a1a3,L0a1a+200,L0a1a,L0a2a1a1,L0a2a1a2,L0a2a1a,L0a2a1b,L0a2a1,L0a2a2a1,L0a2a2a2,L0a2a2a,L0a2a2,L0a2a,L0a2b1,L0a2b,L0a2c,L0a2d,L0a2
6359G	6359	VARIANT	U6a2a1,U6a2a2a,U6a2a2,U6a2a,U3b1b,I1c1a,X1a
10124C	10124	VARIANT	H4a1a2a1,H4a1a2a,H41a
7424G	7424	VARIANT	R1a1a1a,R1a1a1,R1a1a2,R1a1a,R1a1b,R1a1c,R1a1,L3d1a1a1,L3d1a1a,L3d1a1b,L3d1a1,L3d1a2,L3d1a1'2,L3d1a,L3d1b1a,L3d1b1b,L3d1b1,L3d1b2,L3d1b3a,L3d1b3,L3d1b,L3d1c1,L3d1c,L3d1d,L3d1,L3d2a,L3d2b,L3d2,L3d3a1a,L3d3a1b,L3d3a1,L3d3a,L3d3b,L3d3,L3d4a,L3d4,L3d5a,L3d5,L3d6,L3d1'2'3'4'5'6,L3d,M28a6a,D6a1a,D6a1,L5a1a,L5a1b,L5a1c,L5a1,L5a2,L5a,L0a2a1a2
1819C	1819	VARIANT	K1e1,K1e
8093C	8093	VARIANT	L3e1g,M28a7b,M31b1,M31b2,M31b,M68a1a,M68a1,M68a2a,M68a2,M68a
10692T	10692	VARIANT	U4d2
9966A!	9966	BACKMUTATION	I1a1a1,I1a1a2,I1a1a3a,I1a1a3,I1a1a,I1a1b,I1a1c,I1a1d,I1a1e,I1a1
5029C	5029	VARIANT	L0d1b2b2c1,L0d1b2b2c2,L0d1b2b2c
12217G	12217	VARIANT	H3k1a
16261T!	16261	BACKMUTATION	B4a1a1a11b,N9a10a1,N9a10a2a,N9a10a2,N9a10a
5465C	5465	VARIANT	B4a1a1a1a1,B4a1a1a1a,B4a1a1a1b,B4a1a1a1c,B4a1a1a1d,B4a1a1a1,B4a1a1a2a,B4a1a1a2b,B4a1a1a2,B4a1a1a3,B4a1a1a4,B4a1a1a5,B4a1a1a6,B4a1a1a7,B4a1a1a8,B4a1a1a9,B4a1a1a10,B4a1a1a11a,B4a1a1a11b,B4a1a1a11,B4a1a1a12,B4a1a1a13,B4a1a1a14,B4a1a1a15,B4a1a1a16,B4a1a1a17,B4a1a1a18,B4a1a1a19,B4a1a1a20,B4a1a1a21,B4a1a1a22,B4a1a1a23,B4a1a1a+195,B4a1a1a,B4a1a1b,B4a1a1c,B4a1a1d,B4a1a1e,B4a1a1f,B4a1a1g,B4a1a1h,B4a1a1i,B4a1a1j,B4a1a1k1,B4a1a1k,B4a1a1m1,B4a1a1m,B4a1a1+151,B4a1a1n,B4a1a1o,B4a1a1+152,B4a1a1p,B4a1a1q,B4a1a1r,B4a1a1+16126,B4a1a1s,B4a1a1t,B4a1a1u,B4a1a1v,B4a1a1w,B4a1a1x,B4a1a1y,B4a1a1z,B4a1a1aa,B4a1a1ab,B4a1a1ac,B4a1a1ad,B4a1a1ae,B4a1a1af,B4a1a1,B4a1a2,B4a1a3a1a,B4a1a3a1,B4a1a3a,B4a1a3,B4a1a4,B4a1a5a,B4a1a5,B4a1a6a,B4a1a6,B4a1a7,B4a1a,B4a1b1a,B4a1b1,B4a1b,B4a1e,B4a1+16311,B4a1c1a1,B4a1c1a,B4a1c1,B4a1c2,B4a1c4,B4a1c5,B4a1c+146,B4a1c3a,B4a1c3b,B4a1c3,B4a1c,B4a1d,B4a1,B4a2a1,B4a2a2,B4a2a3,B4a2a,B4a2b1a,B4a2b1,B4a2b,B4a2,B4a3,B4a4,B4a5,B4a,U3b1a1
64d	64	DELETION	W5b1a,W5b1,W5b
7993C	7993	VARIANT	Q1b
326G	326	VARIANT	M11a1,M11a2,M11a,M11b1a1,M11b1a,M11b1,M11b2,M11b,M11a'b,M11d,M11+200,M11c,M11
9290A	9290	VARIANT	H1j5
8888C	8888	VARIANT	H10h
10694G	10694	VARIANT	M1a5
15817G	15817	VARIANT	H1e2a,H1e2b,H1e2c,H1e2d,H1e2
14260G	14260	VARIANT	M32c
14393G	14393	VARIANT	L1c1b1,L1c1b
6227C	6227	VARIANT	I1b,X4
4313C	4313	VARIANT	H1v1a,H1v1b,H1v1,L3k1,D4a1f1,D4a1f
16352C	16352	VARIANT	H14a1,H14a+146,H14a2a,H14a2b,H14a2c,H14a2,H14a,B4a1a1k1,U2b2,M2a1a1a1,M2a1a1a,M2a1a1b1,M2a1a1b,M2a1a1,M2a1a2a1a,M2a1a2a1,M2a1a2a,M2a1a2,M2a1a3a1,M2a1a3a,M2a1a3b,M2a1a3+16093,M2a1a3,M2a1a+207,M2a1a,M2a1b,M2a1c,M2a1
6663G	6663	VARIANT	L2a1c1a1,L2a1c1a2,L2a1c1a,L2a1c1,L2a1c6,L2a1c+16086,L2a1c2a,L2a1c2,L2a1c3a1,L2a1c3a,L2a1c3b1,L2a1c3b2,L2a1c3b,L2a1c3,L2a1c4a1,L2a1c4a,L2a1c4,L2a1c5,L2a1c+16129,L2a1c
13725T	13725	VARIANT	H5r1,H5r2,H5r
14392T	14392	VARIANT	R0a2l
13062G	13062	VARIANT	L0d1b2a2
4312T	4312	VARIANT	L0a1a1,L0a1a2,L0a1a3,L0a1a+200,L0a1a,L0a1b1a1a,L0a1b1a1,L0a1b1a,L0a1b1,L0a1b2a,L0a1b2,L0a1b,L0a1c1,L0a1c,L0a1d,L0a1+16293,L0a1e,L0a1,L0a4,L0a1'4,L0a2a1a1,L0a2a1a2,L0a2a1a,L0a2a1b,L0a2a1,L0a2a2a1,L0a2a2a2,L0a2a2a,L0a2a2,L0a2a,L0a2b1,L0a2b,L0a2c,L0a2d,L0a2,L0a3,L0a,L0g,L0a'g,L0b,L0a'b'g,L0f1,L0f2a1,L0f2a,L0f2b,L0f2,L0f,L0a'b'f'g,L0k1a1a,L0k1a1b,L0k1a1c,L0k1a1d,L0k1a1,L0k1a2a,L0k1a2,L0k1a3,L0k1a,L0k1b,L0k1,L0k2a1a,L0k2a1,L0k2a,L0k2b,L0k2,L0k,L0a'b'f'g'k,L0d1a1a1,L0d1a1a2,L0d1a1a3,L0d1a1a,L0d1a1b1a,L0d1a1b1b,L0d1a1b1,L0d1a1b,L0d1a1c,L0d1a1d,L0d1a1,L0d1a,L0d1d,L0d1a'd,L0d1c1a1a1,L0d1c1a1a2,L0d1c1a1a,L0d1c1a1b,L0d1c1a1,L0d1c1a2,L0d1c1a,L0d1c1,L0d1c2a1,L0d1c2a,L0d1c2,L0d1c3,L0d1c,L0d1a'c'd,L0d1b1a1,L0d1b1a,L0d1b1b1,L0d1b1b,L0d1b1c,L0d1b1+@152,L0d1b1,L0d1b2a1,L0d1b2a2,L0d1b2a,L0d1b2b1a,L0d1b2b1b1,L0d1b2b1b,L0d1b2b1,L0d1b2b2a,L0d1b2b2b1,L0d1b2b2b,L0d1b2b2c1,L0d1b2b2c2,L0d1b2b2c,L0d1b2b2,L0d1b2b,L0d1b2,L0d1b,L0d1,L0d2a1a1a,L0d2a1a1,L0d2a1a2,L0d2a1a3,L0d2a1a,L0d2a1b,L0d2a1c,L0d2a1,L0d2a2,L0d2a,L0d2b1a1a,L0d2b1a1,L0d2b1a,L0d2b1b,L0d2b1,L0d2b2,L0d2b,L0d2d,L0d2a'b'd,L0d2c1a1,L0d2c1a,L0d2c1b,L0d2c1,L0d2c2a1a,L0d2c2a1,L0d2c2a,L0d2c2b,L0d2c2,L0d2c,L0d2,L0d1'2,L0d3a,L0d3b1,L0d3b2,L0d3b,L0d3,L0d,L0,L*
66A	66	VARIANT	S3,M74a
15811T	15811	VARIANT	P10
6228T	6228	VARIANT	M7b1a1e1,M7b1a1e2,M7b1a1e
66C	66	VARIANT	W5b1a,W5b1
16176T	16176	VARIANT	H1c3a,H3c2a1,H3c2a,H3c2b1,H3c2b,H3c2c,H3c2,H3n,H7a2,P1d1a,P1d1,P1d2a,P1d2,P1d,P1f,P1+152,P1,P10,P2'10,P8,P+16176,K1a27,N1b1b1,N1b1b,N11a2,L3f3a,L3f3b,L3f3,L3e1d1a,L3e1d1,L3e1d,M4a,C1c7,E1a2a2,Q1e1a1,Q1e1a,D4e1a1,D5b2
65d	65	DELETION	W5b1a,W5b1,W5b
6531T	6531	VARIANT	M11a1,M11a2,M11a,M11b1a1,M11b1a,M11b1,M11b2,M11b,M11a'b,M11d,M11+200,M11c,M11
5333C	5333	VARIANT	R0a1a4
896G	896	VARIANT	U5b2a1a1a,U5b2a1a1b,U5b2a1a1d,U5b2a1a1
11329G	11329	VARIANT	U5b2a1a1d,L1c2a3a,L1c2a3
327T	327	VARIANT	H1z1,H1z,H5b2
5466G	5466	VARIANT	D4a3a1,D4a3a2,D4a3a,D4a3b1,D4a3b2,D4a3b,D4a3
15509G	15509	VARIANT	T3
15944d	15944	DELETION	U3b2a1a,U3b2a1,U3b2a,U3b2b,U3b2c,U3b2,K1c2a,L3b1a1a,L3b1a1,L3b1a2,L3b1a3,L3b1a4,L3b1a5a,L3b1a5,L3b1a6,L3b1a+152,L3b1a7a,L3b1a7,L3b1a8,L3b1a9a,L3b1a9,L3b1a+@16124,L3b1a10,L3b1a11,L3b1a,L3b1b1,L3b1b,L3b1,L3b2a,L3b2b,L3b2,L3b3,L3b,L3f1a1,L3f1a,L3f1b1a1,L3f1b1a,L3f1b1,L3f1b2a,L3f1b2,L3f1b3,L3f1b4a1,L3f1b4a,L3f1b4b,L3f1b4c,L3f1b4,L3f1b+16292+150,L3f1b5,L3f1b+16292,L3f1b,L3f1,L3f2a1a,L3f2a1,L3f2a,L3f2b,L3f2,L3f3a,L3f3b,L3f3,L3f,L3b'f,Z4a1a1,Z4a1a,Z4a1,Z4a,Z4,L0d2b1b
15812A	15812	VARIANT	J2b1a1a,J2b1a1,J2b1a2a,J2b1a2,J2b1a3,J2b1a4,J2b1a5,J2b1a+16311,J2b1a6,J2b1a,J2b1b1,J2b1b,J2b1c1,J2b1c,J2b1d,J2b1e1,J2b1e,J2b1f,J2b1g,J2b1h,J2b1,J2b2,J2b,L3e3b1,L3e3b2,L3e3b3,L3e3b,L2a4a
2484T	2484	VARIANT	L5b2
459d	459	DELETION	H1f1a,I5b1,M2b4,D4g2a1b
66T	66	VARIANT	M39a1,M39a2,M39a,M39b1,M39b2,M39b,M39c,M39
11632T	11632	VARIANT	B4a1c5
16177G	16177	VARIANT	W5a2b
7559G	7559	VARIANT	K1a3a1a,K1a3a1b,K1a3a1,K1a3a2,K1a3a3,K1a3a4,K1a3a
15945T	15945	VARIANT	N7a1,N7a2,N7a,N7b,N7
2351C	2351	VARIANT	R0a4
4577T	4577	VARIANT	X2b6a,X2b6
573.XC	573	INSERTION	H29a,H29b,H29,R2c,T2b5a1,T2c1a1,T2c1a2,T2c1a3,T2c1a,F4b1,F4b,B4f1,B4f,R14,P3a,P3b1,P3b,P3,U1a1a1a,U1a1a1,U5a1a2a1a,U5a1a2a1,U5a1a2a,U5a1a2b1,U5a1a2b,U5a1a2,U5a1d2a1,U5a1d2a,U5a1d2b,U5a1d2,U5b1b2a,U5b1b2b,U5b1b2,U5b1g,U4d3,U9b1,U7a5,K1d1,K1d,N1a1a1a1a,N1a1a1a1,N1a1a1a2,N1a1a1a3,N1a1a1a,N1a1a1b,N1a1a1,N1a1a2,N1a1a+152,N1a1a3,N1a1a,N1a1b1,I1a1a1,I1a1a2,I1a1a3a,I1a1a3,I1a1a,I1a1b,I1a1c,I1a1d,I1a1e,I1a1,I1a,I1b,I1c1a,I1c1,I1c,I1d,I1e,I1f,I1,I2a1a,I2a1,I2a2,I2a3,I2a,I2b,I2c,I2d,I2e,I2f,I2,I3a1,I3a,I3b,I3c,I3d1,I3d,I3,I2'3,I4a1,I4a2,I4a,I4b,I4,I5a1a,I5a1b,I5a1c,I5a1,I5a2a,I5a2+16086,I5a2,I5a3,I5a4,I5a,I5b1,I5b,I5c1,I5c,I5,I6a,I6b,I6,I7,I,N1a1b,N1a1,A2w1,L3e3a,M9b,M10a1a1a,M10a1a1b1,M10a1a1b2,M10a1a1b,M10a1a1,M10a1a,M10a1+16129,M10a1b,M10a1,M10a2,M10a,M10,M12a2,G3a2a,M33a1a,M52a1a,M52a1b1,M52a1b,M52a1,M52a,D4e2a,D4e5a,D4g1a,D4g1b,D4g1c,D4g1,D4h3a2,L2a4a,L0d1b2b2a,L0d1b2b2b1,L0d1b2b2b,L0d1b2b2c1,L0d1b2b2c2,L0d1b2b2c,L0d1b2b2
5201C	5201	VARIANT	T2b5a1,T2b5a,U2a2,M64,L2c1a
6665T	6665	VARIANT	U4a3a,U4a3
16175T	16175	VARIANT	A2af1a2
13984T	13984	VARIANT	D5c2,L0a2c
10301G	10301	VARIANT	U5b1b1g1a,U5b1b1g1,U5b1b1g
3909T	3909	VARIANT	B4a1a1r
16124C!	16124	BACKMUTATION	L3b1a7a,L3b1a7,L3b1a8,L3b1a9a,L3b1a9,L3b1a+@16124
16176G	16176	VARIANT	N1b1a1,N1b1a2a,N1b1a2b,N1b1a2,N1b1a3,N1b1a4a,N1b1a4,N1b1a+16129,N1b1a5,N1b1a6,N1b1a7,N1b1a8a,N1b1a8b,N1b1a8,N1b1a+195,N1b1a,N1b1b1,N1b1b,N1b1,N1b2,N1b
13416G	13416	VARIANT	B4a1a1p
630T	630	VARIANT	M7c1c3b
15508T	15508	VARIANT	B5b1a1,B5b1a2a,B5b1a2,B5b1a,B5b1c1a,B5b1c1,B5b1c,B5b1,B5b2a1,B5b2a2a1,B5b2a2a2,B5b2a2a,B5b2a2,B5b2a,B5b2b,B5b2c1,B5b2c,B5b2+@204,B5b2,B5b3a,B5b3b,B5b3,B5b4,B5b5,B5b,M39b2
11764G	11764	VARIANT	R0b,D4e2d
2352C	2352	VARIANT	H3y,H103,U6b1a1,U6b1a,L3e1a1a,L3e1a1,L3e1a2,L3e1a3a,L3e1a3b,L3e1a3,L3e1a,L3e1b1,L3e1b2,L3e1b,L3e1c,L3e1d1a,L3e1d1,L3e1d,L3e1e1,L3e1e2,L3e1e,L3e1f1a,L3e1f1,L3e1f2,L3e1f,L3e1g,L3e1,L3e2a1a,L3e2a1b1,L3e2a1b2,L3e2a1b3,L3e2a1b,L3e2a1,L3e2a2,L3e2a3,L3e2a,L3e2b1a1,L3e2b1a2,L3e2b1a,L3e2b1,L3e2b2,L3e2b3,L3e2b4,L3e2b5,L3e2b6,L3e2b+152,L3e2b7,L3e2b8,L3e2b,L3e2,L3e3a,L3e3b1,L3e3b2,L3e3b3,L3e3b,L3e3,L3e4a1,L3e4a,L3e4,L3e3'4,L3e5a1a,L3e5a1,L3e5a,L3e5b,L3e5c,L3e5+195,L3e5d,L3e5e,L3e5f,L3e5,L3e3'4'5,L3e,Z7,M73a1,M73a,M73b,M73,L1b1a1,L1b1a4a,L1b1a4,L1b1a1'4,L1b1a2a,L1b1a2,L1b1a3a1,L1b1a3a,L1b1a3b,L1b1a3,L1b1a9,L1b1a15a,L1b1a15,L1b1a17,L1b1a18,L1b1a+189,L1b1a5,L1b1a6,L1b1a7a,L1b1a7,L1b1a8,L1b1a10a,L1b1a10b,L1b1a10,L1b1a12a,L1b1a12b,L1b1a12,L1b1a13,L1b1a14,L1b1a16,L1b1a,L1b1,L1b2a,L1b2,L1b3,L1b2'3,L1b
9822A	9822	VARIANT	B4a1c2
68A	68	VARIANT	D5a1a1,D5a1a2,D5a1a,D5a1
10697T	10697	VARIANT	K1a3a1a
1284C	1284	VARIANT	H5a1g1a
15947G	15947	VARIANT	J1c2t
12961G	12961	VARIANT	I5a1a,I5a1b,I5a1c,I5a1
16482G	16482	VARIANT	H6a1a1a,H6a1a1,H6a1a2a,H6a1a2b1,H6a1a2b,H6a1a2,H6a1a3a,H6a1a3,H6a1a4,H6a1a5,H6a1a6,H6a1a7,H6a1a8a,H6a1a8,H6a1a9,H6a1a10,H6a1a,H6a1b1,H6a1b2a,H6a1b2b,H6a1b2c,H6a1b2d,H6a1b2e,H6a1b2,H6a1b3a,H6a1b3b,H6a1b3,H6a1b4,H6a1b,H6a1,H6a2a,H6a2,H6a,H6b1,H6b2,H6b,H6c1,H6c,H6,L0d2c1b
329A	329	VARIANT	R22
2179G	2179	VARIANT	R0a2l
10128A	10128	VARIANT	L0d3b1,L0d3b2,L0d3b
4310G	4310	VARIANT	H9a,M28a6a,M28a6,Q2a2a,Q2a2b,Q2a2
16179A	16179	VARIANT	H4a1c2
189G!	189	BACKMUTATION	W1d,W3b1,L0a2b1,L0a2b
13720T	13720	VARIANT	D4b1a2a1,D4b1a2a2,D4b1a2a
10698T	10698	VARIANT	K1c1f
10565T	10565	VARIANT	M35b4
633G	633	VARIANT	L1c2b1c
11761T	11761	VARIANT	R0a1a1a,R0a1a1,R0a1a2,R0a1a3,R0a1a4,R0a1a
5336T	5336	VARIANT	M12b1b
7864T	7864	VARIANT	W1a,W1b1,W1b,W1c1,W1c,W1i,W1+119,W1d,W1e1a,W1e1,W1e,W1f,W1g,W1h1,W1h,W1
1719A!	1719	BACKMUTATION	N1b2
16178G	16178	VARIANT	A2p2
6401G	6401	VARIANT	L3x1a1,L3x1a2,L3x1a,L3x1b,L3x1+16311,L3x1,L3x2a1a,L3x2a1,L3x2a,L3x2b,L3x2,L3x
11326T	11326	VARIANT	F1e2,U4d2
9293T	9293	VARIANT	U5a2a1c
